indx,MATCHUP,rival,date,day,month,year,season,H/A,W/L,W,L,totW,totL,wlRatio,seasonW,seasonL,seasonWratio,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,gameType
1,10/17/2018 - TOR vs. CLE,CLE,10/17/2018,17,10,2018,18-19,h,W,1,0,1,0,1.000,1,0,1,240,116,45,92,48.9,14,33,42.4,12,20,60,8,35,43,21,6,7,9,29,regular
2,10/19/2018 - TOR vs. BOS,BOS,10/19/2018,19,10,2018,18-19,h,W,1,0,2,0,1.000,2,0,1,240,113,43,92,46.7,13,35,37.1,14,19,73.7,12,37,49,24,3,3,12,19,regular
3,10/20/2018 - TOR @ WAS,WAS,10/20/2018,20,10,2018,18-19,a,W,1,0,3,0,1.000,3,0,1,240,117,39,88,44.3,10,29,34.5,29,36,80.6,14,38,52,21,5,5,17,29,regular
4,10/22/2018 - TOR vs. CHA,CHA,10/22/2018,22,10,2018,18-19,h,W,1,0,4,0,1.000,4,0,1,240,127,50,87,57.5,15,39,38.5,12,14,85.7,5,41,46,36,10,8,13,21,regular
5,10/24/2018 - TOR vs. MIN,MIN,10/24/2018,24,10,2018,18-19,h,W,1,0,5,0,1.000,5,0,1,240,112,46,89,51.7,11,32,34.4,9,12,75,11,33,44,26,9,8,16,18,regular
6,10/26/2018 - TOR vs. DAL,DAL,10/26/2018,26,10,2018,18-19,h,W,1,0,6,0,1.000,6,0,1,240,116,44,91,48.4,11,27,40.7,17,20,85,12,38,50,23,10,5,12,22,regular
7,10/29/2018 - TOR @ MIL,MIL,10/29/2018,29,10,2018,18-19,a,L,0,1,6,1,0.857,6,1,0.857,240,109,39,103,37.9,9,45,20,22,28,78.6,15,36,51,25,9,7,10,19,regular
8,10/30/2018 - TOR vs. PHI,PHI,10/30/2018,30,10,2018,18-19,h,W,1,0,7,1,0.875,7,1,0.875,240,129,47,92,51.1,11,27,40.7,24,28,85.7,9,34,43,29,13,6,15,26,regular
9,11/02/2018 - TOR @ PHX,PHX,11/02/2018,2,11,2018,18-19,a,W,1,0,8,1,0.889,8,1,0.889,240,107,41,81,50.6,12,33,36.4,13,21,61.9,6,33,39,29,11,10,13,23,regular
10,11/04/2018 - TOR @ LAL,LAL,11/04/2018,4,11,2018,18-19,a,W,1,0,9,1,0.900,9,1,0.9,240,121,49,98,50,10,35,28.6,13,14,92.9,13,36,49,32,9,4,12,24,regular
11,11/05/2018 - TOR @ UTA,UTA,11/05/2018,5,11,2018,18-19,a,W,1,0,10,1,0.909,10,1,0.909,240,124,49,86,57,13,33,39.4,13,14,92.9,7,36,43,21,9,3,14,28,regular
12,11/07/2018 - TOR @ SAC,SAC,11/07/2018,7,11,2018,18-19,a,W,1,0,11,1,0.917,11,1,0.917,240,114,41,89,46.1,11,36,30.6,21,23,91.3,13,40,53,17,10,4,20,20,regular
13,11/10/2018 - TOR vs. NYK,NYK,11/10/2018,10,11,2018,18-19,h,W,1,0,12,1,0.923,12,1,0.923,240,128,42,79,53.2,14,35,40,30,40,75,12,34,46,24,8,4,15,20,regular
14,11/12/2018 - TOR vs. NOP,NOP,11/12/2018,12,11,2018,18-19,h,L,0,1,12,2,0.857,12,2,0.857,240,110,39,97,40.2,13,45,28.9,19,22,86.4,13,30,43,22,9,5,10,20,regular
15,11/14/2018 - TOR vs. DET,DET,11/14/2018,14,11,2018,18-19,h,L,0,1,12,3,0.800,12,3,0.8,240,104,45,92,48.9,4,20,20,10,17,58.8,12,37,49,23,9,3,20,19,regular
16,11/16/2018 - TOR @ BOS,BOS,11/16/2018,16,11,2018,18-19,a,L,0,1,12,4,0.750,12,4,0.75,265,116,42,97,43.3,8,29,27.6,24,29,82.8,11,32,43,20,12,4,13,23,regular
17,11/17/2018 - TOR @ CHI,CHI,11/17/2018,17,11,2018,18-19,a,W,1,0,13,4,0.765,13,4,0.765,240,122,48,89,53.9,14,35,40,12,13,92.3,8,46,54,31,14,10,23,24,regular
18,11/20/2018 - TOR @ ORL,ORL,11/20/2018,20,11,2018,18-19,a,W,1,0,14,4,0.778,14,4,0.778,240,93,39,87,44.8,9,34,26.5,6,8,75,6,37,43,23,7,5,16,19,regular
19,11/21/2018 - TOR @ ATL,ATL,11/21/2018,21,11,2018,18-19,a,W,1,0,15,4,0.789,15,4,0.789,240,124,48,90,53.3,11,29,37.9,17,23,73.9,14,41,55,33,6,1,17,21,regular
20,11/23/2018 - TOR vs. WAS,WAS,11/23/2018,23,11,2018,18-19,h,W,1,0,16,4,0.800,16,4,0.8,240,125,46,93,49.5,17,39,43.6,16,19,84.2,13,37,50,32,5,6,15,23,regular
21,11/25/2018 - TOR vs. MIA,MIA,11/25/2018,25,11,2018,18-19,h,W,1,0,17,4,0.810,17,4,0.81,240,125,47,90,52.2,11,35,31.4,20,25,80,11,36,47,25,4,7,9,21,regular
22,11/27/2018 - TOR @ MEM,MEM,11/27/2018,27,11,2018,18-19,a,W,1,0,18,4,0.818,18,4,0.818,240,122,42,69,60.9,18,33,54.5,20,28,71.4,4,27,31,25,5,5,15,18,regular
23,11/29/2018 - TOR vs. GSW,GSW,11/29/2018,29,11,2018,18-19,h,W,1,0,19,4,0.826,19,4,0.826,265,131,47,90,52.2,15,38,39.5,22,24,91.7,7,30,37,25,5,6,14,23,regular
24,12/01/2018 - TOR @ CLE,CLE,12/01/2018,1,12,2018,18-19,a,W,1,0,20,4,0.833,20,4,0.833,240,106,39,80,48.8,7,26,26.9,21,25,84,6,36,42,15,5,5,10,19,regular
25,12/03/2018 - TOR vs. DEN,DEN,12/03/2018,3,12,2018,18-19,h,L,0,1,20,5,0.800,20,5,0.8,240,103,40,87,46,11,41,26.8,12,12,100,7,34,41,28,11,5,17,21,regular
26,12/05/2018 - TOR vs. PHI,PHI,12/05/2018,5,12,2018,18-19,h,W,1,0,21,5,0.808,21,5,0.808,240,113,43,100,43,8,29,27.6,19,22,86.4,17,36,53,25,12,3,11,13,regular
27,12/07/2018 - TOR @ BKN,BKN,12/07/2018,7,12,2018,18-19,a,L,0,1,21,6,0.778,21,6,0.778,265,105,35,89,39.3,11,35,31.4,24,29,82.8,6,35,41,25,9,7,15,19,regular
28,12/09/2018 - TOR vs. MIL,MIL,12/09/2018,9,12,2018,18-19,h,L,0,1,21,7,0.750,21,7,0.75,240,99,39,94,41.5,15,44,34.1,6,7,85.7,11,34,45,24,6,11,11,21,regular
29,12/11/2018 - TOR @ LAC,LAC,12/11/2018,11,12,2018,18-19,a,W,1,0,22,7,0.759,22,7,0.759,240,123,50,96,52.1,14,29,48.3,9,12,75,10,33,43,34,8,6,7,22,regular
30,12/12/2018 - TOR @ GSW,GSW,12/12/2018,12,12,2018,18-19,a,W,1,0,23,7,0.767,23,7,0.767,240,113,44,91,48.4,9,28,32.1,16,19,84.2,10,38,48,27,12,3,11,17,regular
31,12/14/2018 - TOR @ POR,POR,12/14/2018,14,12,2018,18-19,a,L,0,1,23,8,0.742,23,8,0.742,240,122,43,78,55.1,18,31,58.1,18,21,85.7,6,31,37,20,4,4,16,21,regular
32,12/16/2018 - TOR @ DEN,DEN,12/16/2018,16,12,2018,18-19,a,L,0,1,23,9,0.719,23,9,0.719,240,86,35,88,39.8,7,35,20,9,14,64.3,13,38,51,13,5,4,11,16,regular
33,12/19/2018 - TOR vs. IND,IND,12/19/2018,19,12,2018,18-19,h,W,1,0,24,9,0.727,24,9,0.727,240,99,38,93,40.9,7,30,23.3,16,21,76.2,11,32,43,20,15,9,9,19,regular
34,12/21/2018 - TOR vs. CLE,CLE,12/21/2018,21,12,2018,18-19,h,W,1,0,25,9,0.735,25,9,0.735,240,126,48,91,52.7,9,31,29,21,26,80.8,13,31,44,21,9,5,8,23,regular
35,12/22/2018 - TOR @ PHI,PHI,12/22/2018,22,12,2018,18-19,a,L,0,1,25,10,0.714,25,10,0.714,240,101,37,95,38.9,10,40,25,17,19,89.5,8,33,41,17,5,2,15,24,regular
36,12/26/2018 - TOR @ MIA,MIA,12/26/2018,26,12,2018,18-19,a,W,1,0,26,10,0.722,26,10,0.722,240,106,37,79,46.8,13,30,43.3,19,23,82.6,10,33,43,19,8,2,16,16,regular
37,12/28/2018 - TOR @ ORL,ORL,12/28/2018,28,12,2018,18-19,a,L,0,1,26,11,0.703,26,11,0.703,240,87,28,95,29.5,12,34,35.3,19,24,79.2,14,27,41,18,4,10,11,21,regular
38,12/30/2018 - TOR vs. CHI,CHI,12/30/2018,30,12,2018,18-19,h,W,1,0,27,11,0.711,27,11,0.711,240,95,34,92,37,9,33,27.3,18,20,90,17,35,52,17,5,8,11,15,regular
39,01/01/2019 - TOR vs. UTA,UTA,01/01/2019,1,1,2019,18-19,h,W,1,0,28,11,0.718,28,11,0.718,240,122,45,82,54.9,7,20,35,25,35,71.4,5,40,45,18,4,6,9,21,regular
40,01/03/2019 - TOR @ SAS,SAS,01/03/2019,3,1,2019,18-19,a,L,0,1,28,12,0.700,28,12,0.7,240,107,39,87,44.8,6,30,20,23,29,79.3,9,30,39,21,9,6,10,23,regular
41,01/05/2019 - TOR @ MIL,MIL,01/05/2019,5,1,2019,18-19,a,W,1,0,29,12,0.707,29,12,0.707,240,123,42,82,51.2,14,31,45.2,25,31,80.6,4,34,38,28,9,6,11,22,regular
42,01/06/2019 - TOR vs. IND,IND,01/06/2019,6,1,2019,18-19,h,W,1,0,30,12,0.714,30,12,0.714,240,121,44,85,51.8,17,33,51.5,16,17,94.1,8,33,41,30,9,4,15,21,regular
43,01/08/2019 - TOR vs. ATL,ATL,01/08/2019,8,1,2019,18-19,h,W,1,0,31,12,0.721,31,12,0.721,240,104,37,80,46.3,10,32,31.3,20,27,74.1,6,33,39,26,18,7,18,20,regular
44,01/11/2019 - TOR vs. BKN,BKN,01/11/2019,11,1,2019,18-19,h,W,1,0,32,12,0.727,32,12,0.727,240,122,48,105,45.7,11,35,31.4,15,24,62.5,13,42,55,32,10,4,9,22,regular
45,01/13/2019 - TOR @ WAS,WAS,01/13/2019,13,1,2019,18-19,a,W,1,0,33,12,0.733,33,12,0.733,290,140,49,104,47.1,13,36,36.1,29,36,80.6,17,42,59,24,16,8,21,27,regular
46,01/16/2019 - TOR @ BOS,BOS,01/16/2019,16,1,2019,18-19,a,L,0,1,33,13,0.717,33,13,0.717,240,108,41,92,44.6,7,29,24.1,19,21,90.5,14,28,42,20,9,2,10,14,regular
47,01/17/2019 - TOR vs. PHX,PHX,01/17/2019,17,1,2019,18-19,h,W,1,0,34,13,0.723,34,13,0.723,240,111,43,86,50,7,28,25,18,25,72,9,30,39,27,8,8,14,27,regular
48,01/19/2019 - TOR vs. MEM,MEM,01/19/2019,19,1,2019,18-19,h,W,1,0,35,13,0.729,35,13,0.729,240,119,44,90,48.9,17,36,47.2,14,16,87.5,8,29,37,31,19,8,10,17,regular
49,01/22/2019 - TOR vs. SAC,SAC,01/22/2019,22,1,2019,18-19,h,W,1,0,36,13,0.735,36,13,0.735,240,120,40,91,44,16,40,40,24,35,68.6,12,34,46,25,7,5,16,21,regular
50,01/23/2019 - TOR @ IND,IND,01/23/2019,23,1,2019,18-19,a,L,0,1,36,14,0.720,36,14,0.72,240,106,38,92,41.3,12,39,30.8,18,23,78.3,10,35,45,28,2,5,9,22,regular
51,01/25/2019 - TOR @ HOU,HOU,01/25/2019,25,1,2019,18-19,a,L,0,1,36,15,0.706,36,15,0.706,240,119,44,91,48.4,14,36,38.9,17,18,94.4,12,35,47,27,4,1,19,25,regular
52,01/27/2019 - TOR @ DAL,DAL,01/27/2019,27,1,2019,18-19,a,W,1,0,37,15,0.712,37,15,0.712,240,123,37,83,44.6,17,34,50,32,38,84.2,8,36,44,24,6,5,7,27,regular
53,01/31/2019 - TOR vs. MIL,MIL,01/31/2019,31,1,2019,18-19,h,L,0,1,37,16,0.698,37,16,0.698,240,92,37,93,39.8,7,27,25.9,11,13,84.6,8,31,39,16,9,4,16,20,regular
54,02/03/2019 - TOR vs. LAC,LAC,02/03/2019,3,2,2019,18-19,h,W,1,0,38,16,0.704,38,16,0.704,240,121,43,94,45.7,9,33,27.3,26,31,83.9,16,40,56,21,10,5,14,28,regular
55,02/05/2019 - TOR @ PHI,PHI,02/05/2019,5,2,2019,18-19,a,W,1,0,39,16,0.709,39,16,0.709,240,119,41,89,46.1,11,31,35.5,26,32,81.3,15,27,42,27,12,0,10,27,regular
56,02/07/2019 - TOR @ ATL,ATL,02/07/2019,7,2,2019,18-19,a,W,1,0,40,16,0.714,40,16,0.714,240,119,40,87,46,13,40,32.5,26,33,78.8,12,38,50,29,6,2,8,23,regular
57,02/09/2019 - TOR @ NYK,NYK,02/09/2019,9,2,2019,18-19,a,W,1,0,41,16,0.719,41,16,0.719,240,104,33,86,38.4,14,35,40,24,29,82.8,10,37,47,27,8,5,12,15,regular
58,02/11/2019 - TOR vs. BKN,BKN,02/11/2019,11,2,2019,18-19,h,W,1,0,42,16,0.724,42,16,0.724,240,127,50,92,54.3,9,31,29,18,20,90,5,35,40,32,12,3,13,16,regular
59,02/13/2019 - TOR vs. WAS,WAS,02/13/2019,13,2,2019,18-19,h,W,1,0,43,16,0.729,43,16,0.729,240,129,44,92,47.8,16,38,42.1,25,30,83.3,9,43,52,32,8,8,14,27,regular
60,02/22/2019 - TOR vs. SAS,SAS,02/22/2019,22,2,2019,18-19,h,W,1,0,44,16,0.733,44,16,0.733,240,120,40,94,42.6,14,30,46.7,26,32,81.3,14,33,47,24,8,3,9,20,regular
61,02/24/2019 - TOR vs. ORL,ORL,02/24/2019,24,2,2019,18-19,h,L,0,1,44,17,0.721,44,17,0.721,240,98,38,91,41.8,11,28,39.3,11,14,78.6,6,36,42,30,6,2,13,20,regular
62,02/26/2019 - TOR vs. BOS,BOS,02/26/2019,26,2,2019,18-19,h,W,1,0,45,17,0.726,45,17,0.726,240,118,46,94,48.9,17,36,47.2,9,14,64.3,8,37,45,33,7,5,8,24,regular
63,03/01/2019 - TOR vs. POR,POR,03/01/2019,1,3,2019,18-19,h,W,1,0,46,17,0.730,46,17,0.73,240,119,45,81,55.6,10,28,35.7,19,21,90.5,2,30,32,29,9,6,14,17,regular
64,03/03/2019 - TOR @ DET,DET,03/03/2019,3,3,2019,18-19,a,L,0,1,46,18,0.719,46,18,0.719,265,107,37,96,38.5,14,39,35.9,19,24,79.2,18,32,50,22,8,3,15,28,regular
65,03/05/2019 - TOR vs. HOU,HOU,03/05/2019,5,3,2019,18-19,h,L,0,1,46,19,0.708,46,19,0.708,240,95,37,89,41.6,9,32,28.1,12,16,75,16,31,47,16,1,5,13,15,regular
66,03/08/2019 - TOR @ NOP,NOP,03/08/2019,8,3,2019,18-19,a,W,1,0,47,19,0.712,47,19,0.712,240,127,53,99,53.5,13,37,35.1,8,9,88.9,7,44,51,31,10,12,16,14,regular
67,03/10/2019 - TOR @ MIA,MIA,03/10/2019,10,3,2019,18-19,a,W,1,0,48,19,0.716,48,19,0.716,240,125,42,74,56.8,21,40,52.5,20,26,76.9,6,38,44,32,8,8,19,23,regular
68,03/11/2019 - TOR @ CLE,CLE,03/11/2019,11,3,2019,18-19,a,L,0,1,48,20,0.706,48,20,0.706,240,101,40,84,47.6,11,39,28.2,10,17,58.8,6,37,43,20,8,3,20,24,regular
69,03/14/2019 - TOR vs. LAL,LAL,03/14/2019,14,3,2019,18-19,h,W,1,0,49,20,0.710,49,20,0.71,240,111,36,91,39.6,16,41,39,23,29,79.3,13,39,52,21,15,6,17,20,regular
70,03/17/2019 - TOR @ DET,DET,03/17/2019,17,3,2019,18-19,a,L,0,1,49,21,0.700,49,21,0.7,240,107,39,82,47.6,18,36,50,11,14,78.6,7,31,38,25,2,2,12,22,regular
71,03/18/2019 - TOR vs. NYK,NYK,03/18/2019,18,3,2019,18-19,h,W,1,0,50,21,0.704,50,21,0.704,240,128,49,88,55.7,17,40,42.5,13,22,59.1,5,45,50,36,5,6,14,22,regular
72,03/20/2019 - TOR @ OKC,OKC,03/20/2019,20,3,2019,18-19,a,W,1,0,51,21,0.708,51,21,0.708,265,123,45,87,51.7,14,36,38.9,19,21,90.5,6,46,52,30,11,5,17,27,regular
73,03/22/2019 - TOR vs. OKC,OKC,03/22/2019,22,3,2019,18-19,h,L,0,1,51,22,0.699,51,22,0.699,240,109,39,78,50,13,25,52,18,21,85.7,11,35,46,20,7,7,21,24,regular
74,03/24/2019 - TOR vs. CHA,CHA,03/24/2019,24,3,2019,18-19,h,L,0,1,51,23,0.689,51,23,0.689,240,114,45,77,58.4,11,26,42.3,13,13,100,3,32,35,29,6,11,13,17,regular
75,03/26/2019 - TOR vs. CHI,CHI,03/26/2019,26,3,2019,18-19,h,W,1,0,52,23,0.693,52,23,0.693,240,112,42,86,48.8,12,28,42.9,16,16,100,2,37,39,28,13,7,15,16,regular
76,03/28/2019 - TOR @ NYK,NYK,03/28/2019,28,3,2019,18-19,a,W,1,0,53,23,0.697,53,23,0.697,240,117,40,89,44.9,20,47,42.6,17,22,77.3,6,38,44,32,8,6,8,28,regular
77,03/30/2019 - TOR @ CHI,CHI,03/30/2019,30,3,2019,18-19,a,W,1,0,54,23,0.701,54,23,0.701,240,124,46,89,51.7,18,38,47.4,14,18,77.8,6,41,47,35,10,4,11,15,regular
78,04/01/2019 - TOR vs. ORL,ORL,04/01/2019,1,4,2019,18-19,h,W,1,0,55,23,0.705,55,23,0.705,240,121,42,84,50,19,37,51.4,18,22,81.8,6,33,39,31,9,8,14,20,regular
79,04/03/2019 - TOR @ BKN,BKN,04/03/2019,3,4,2019,18-19,a,W,1,0,56,23,0.709,56,23,0.709,240,115,44,105,41.9,15,38,39.5,12,14,85.7,17,35,52,29,9,1,7,16,regular
80,04/05/2019 - TOR @ CHA,CHA,04/05/2019,5,4,2019,18-19,a,L,0,1,56,24,0.700,56,24,0.7,240,111,43,80,53.8,9,26,34.6,16,20,80,5,38,43,27,2,5,14,17,regular
81,04/07/2019 - TOR vs. MIA,MIA,04/07/2019,7,4,2019,18-19,h,W,1,0,57,24,0.704,57,24,0.704,265,117,39,87,44.8,16,41,39,23,27,85.2,4,43,47,26,7,5,11,17,regular
82,04/09/2019 - TOR @ MIN,MIN,04/09/2019,9,4,2019,18-19,a,W,1,0,58,24,0.707,58,24,0.707,240,120,46,88,52.3,16,37,43.2,12,17,70.6,7,47,54,24,10,5,18,17,regular
83,10/22/2019 - TOR vs. NOP,NOP,10/22/2019,22,10,2019,19-20,h,W,1,0,59,24,0.711,1,0,1,265,130,42,103,40.8,14,40,35,32,38,84.2,16,41,57,23,7,3,16,24,regular
84,10/25/2019 - TOR @ BOS,BOS,10/25/2019,25,10,2019,19-20,a,L,0,1,59,25,0.702,1,1,0.5,240,106,37,78,47.4,18,36,50,14,17,82.4,5,41,46,22,2,6,23,28,regular
85,10/26/2019 - TOR @ CHI,CHI,10/26/2019,26,10,2019,19-20,a,W,1,0,60,25,0.706,2,1,0.667,240,108,38,82,46.3,15,42,35.7,17,18,94.4,10,49,59,27,9,12,22,25,regular
86,10/28/2019 - TOR vs. ORL,ORL,10/28/2019,28,10,2019,19-20,h,W,1,0,61,25,0.709,3,1,0.75,240,104,33,85,38.8,10,39,25.6,28,30,93.3,6,46,52,19,9,2,16,20,regular
87,10/30/2019 - TOR vs. DET,DET,10/30/2019,30,10,2019,19-20,h,W,1,0,62,25,0.713,4,1,0.8,240,125,51,86,59.3,13,27,48.1,10,12,83.3,3,31,34,30,12,2,14,22,regular
88,11/02/2019 - TOR @ MIL,MIL,11/02/2019,2,11,2019,19-20,a,L,0,1,62,26,0.705,4,2,0.667,240,105,34,84,40.5,15,36,41.7,22,25,88,7,35,42,24,5,6,13,22,regular
89,11/06/2019 - TOR vs. SAC,SAC,11/06/2019,6,11,2019,19-20,h,W,1,0,63,26,0.708,5,2,0.714,240,124,43,78,55.1,14,29,48.3,24,29,82.8,2,35,37,28,10,4,14,20,regular
90,11/08/2019 - TOR @ NOP,NOP,11/08/2019,8,11,2019,19-20,a,W,1,0,64,26,0.711,6,2,0.75,240,122,41,93,44.1,19,43,44.2,21,24,87.5,10,43,53,27,9,3,17,24,regular
91,11/10/2019 - TOR @ LAL,LAL,11/10/2019,10,11,2019,19-20,a,W,1,0,65,26,0.714,7,2,0.778,240,113,43,89,48.3,12,36,33.3,15,22,68.2,7,36,43,26,6,8,13,17,regular
92,11/11/2019 - TOR @ LAC,LAC,11/11/2019,11,11,2019,19-20,a,L,0,1,65,27,0.707,7,3,0.7,240,88,34,85,40,11,30,36.7,9,15,60,5,33,38,25,9,8,15,24,regular
93,11/13/2019 - TOR @ POR,POR,11/13/2019,13,11,2019,19-20,a,W,1,0,66,27,0.710,8,3,0.727,240,114,42,92,45.7,14,32,43.8,16,17,94.1,14,36,50,20,4,9,12,20,regular
94,11/16/2019 - TOR @ DAL,DAL,11/16/2019,16,11,2019,19-20,a,L,0,1,66,28,0.702,8,4,0.667,240,102,37,89,41.6,17,41,41.5,11,15,73.3,7,35,42,21,7,2,14,20,regular
95,11/18/2019 - TOR vs. CHA,CHA,11/18/2019,18,11,2019,19-20,h,W,1,0,67,28,0.705,9,4,0.692,240,132,50,97,51.5,20,43,46.5,12,15,80,16,37,53,40,13,2,10,25,regular
96,11/20/2019 - TOR vs. ORL,ORL,11/20/2019,20,11,2019,19-20,h,W,1,0,68,28,0.708,10,4,0.714,240,113,45,87,51.7,9,27,33.3,14,19,73.7,10,37,47,26,5,5,11,21,regular
97,11/23/2019 - TOR @ ATL,ATL,11/23/2019,23,11,2019,19-20,a,W,1,0,69,28,0.711,11,4,0.733,240,119,40,88,45.5,13,37,35.1,26,30,86.7,12,30,42,22,5,5,15,16,regular
98,11/25/2019 - TOR vs. PHI,PHI,11/25/2019,25,11,2019,19-20,h,W,1,0,70,28,0.714,12,4,0.75,240,101,38,84,45.2,11,34,32.4,14,22,63.6,8,32,40,27,5,5,10,18,regular
