indx,MATCHUP,rival,date,day,month,year,season,H/A,W/L,W,L,totW,totL,wlRatio,seasonW,seasonL,seasonWratio,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,gameType
99,11/27/2019 - TOR vs. NYK,NYK,11/27/2019,27,11,2019,19-20,h,W,1,0,71,28,0.717,13,4,0.765,240,126,46,94,48.9,21,41,51.2,13,17,76.5,17,35,52,26,6,4,12,18,regular
100,11/29/2019 - TOR @ ORL,ORL,11/29/2019,29,11,2019,19-20,a,W,1,0,72,28,0.720,14,4,0.778,240,90,31,84,36.9,11,38,28.9,17,28,60.7,11,35,46,21,16,4,13,20,regular
101,12/01/2019 - TOR vs. UTA,UTA,12/01/2019,1,12,2019,19-20,h,W,1,0,73,28,0.723,15,4,0.789,240,130,47,90,52.2,19,36,52.8,17,21,81,7,36,43,36,14,8,14,24,regular
102,12/03/2019 - TOR vs. MIA,MIA,12/03/2019,3,12,2019,19-20,h,L,0,1,73,29,0.716,15,5,0.75,265,110,35,91,38.5,11,43,25.6,29,36,80.6,9,39,48,25,5,4,11,20,regular
103,12/05/2019 - TOR vs. HOU,HOU,12/05/2019,5,12,2019,19-20,h,L,0,1,73,30,0.709,15,6,0.714,240,109,38,88,43.2,12,39,30.8,21,24,87.5,12,33,45,27,14,5,17,21,regular
104,12/08/2019 - TOR @ PHI,PHI,12/08/2019,8,12,2019,19-20,a,L,0,1,73,31,0.702,15,7,0.682,240,104,38,88,43.2,11,33,33.3,17,20,85,13,29,42,21,13,4,18,22,regular
105,12/09/2019 - TOR @ CHI,CHI,12/09/2019,9,12,2019,19-20,a,W,1,0,74,31,0.705,16,7,0.696,240,93,34,90,37.8,7,29,24.1,18,26,69.2,14,40,54,19,8,9,15,12,regular
106,12/11/2019 - TOR vs. LAC,LAC,12/11/2019,11,12,2019,19-20,h,L,0,1,74,32,0.698,16,8,0.667,240,92,31,88,35.2,8,36,22.2,22,25,88,15,32,47,21,10,8,18,24,regular
107,12/14/2019 - TOR vs. BKN,BKN,12/14/2019,14,12,2019,19-20,h,W,1,0,75,32,0.701,17,8,0.68,240,110,38,98,38.8,14,40,35,20,25,80,10,41,51,21,10,10,11,23,regular
108,12/16/2019 - TOR vs. CLE,CLE,12/16/2019,16,12,2019,19-20,h,W,1,0,76,32,0.704,18,8,0.692,240,133,52,89,58.4,16,32,50,13,17,76.5,6,35,41,31,7,2,7,19,regular
109,12/18/2019 - TOR @ DET,DET,12/18/2019,18,12,2019,19-20,a,W,1,0,77,32,0.706,19,8,0.704,240,112,39,91,42.9,13,35,37.1,21,24,87.5,12,35,47,27,9,6,12,20,regular
110,12/20/2019 - TOR vs. WAS,WAS,12/20/2019,20,12,2019,19-20,h,W,1,0,78,32,0.709,20,8,0.714,240,122,38,78,48.7,12,30,40,34,44,77.3,6,36,42,26,6,3,17,25,regular
111,12/22/2019 - TOR vs. DAL,DAL,12/22/2019,22,12,2019,19-20,h,W,1,0,79,32,0.712,21,8,0.724,240,110,37,94,39.4,10,34,29.4,26,31,83.9,14,37,51,21,12,5,10,21,regular
112,12/23/2019 - TOR @ IND,IND,12/23/2019,23,12,2019,19-20,a,L,0,1,79,33,0.705,21,9,0.7,265,115,43,94,45.7,11,40,27.5,18,24,75,12,38,50,30,6,8,16,22,regular
113,12/25/2019 - TOR vs. BOS,BOS,12/25/2019,25,12,2019,19-20,h,L,0,1,79,34,0.699,21,10,0.677,240,102,38,80,47.5,8,23,34.8,18,22,81.8,7,27,34,17,13,7,17,13,regular
114,12/28/2019 - TOR @ BOS,BOS,12/28/2019,28,12,2019,19-20,a,W,1,0,80,34,0.702,22,10,0.688,240,113,44,84,52.4,14,34,41.2,11,17,64.7,15,38,53,27,8,3,22,32,regular
115,12/29/2019 - TOR vs. OKC,OKC,12/29/2019,29,12,2019,19-20,h,L,0,1,80,35,0.696,22,11,0.667,240,97,35,83,42.2,15,40,37.5,12,12,100,8,34,42,21,7,2,14,20,regular
116,12/31/2019 - TOR vs. CLE,CLE,12/31/2019,31,12,2019,19-20,h,W,1,0,81,35,0.698,23,11,0.676,240,117,40,84,47.6,17,39,43.6,20,25,80,10,35,45,29,5,7,11,15,regular
117,01/02/2020 - TOR @ MIA,MIA,01/02/2020,2,1,2020,19-20,a,L,0,1,81,36,0.692,23,12,0.657,240,76,28,89,31.5,6,42,14.3,14,17,82.4,13,35,48,20,4,6,10,12,regular
118,01/04/2020 - TOR @ BKN,BKN,01/04/2020,4,1,2020,19-20,a,W,1,0,82,36,0.695,24,12,0.667,240,121,44,97,45.4,13,32,40.6,20,28,71.4,15,28,43,21,10,4,7,25,regular
119,01/07/2020 - TOR vs. POR,POR,01/07/2020,7,1,2020,19-20,h,L,0,1,82,37,0.689,24,13,0.649,240,99,35,96,36.5,15,42,35.7,14,19,73.7,17,40,57,21,5,7,13,21,regular
120,01/08/2020 - TOR @ CHA,CHA,01/08/2020,8,1,2020,19-20,a,W,1,0,83,37,0.692,25,13,0.658,265,112,42,94,44.7,14,36,38.9,14,20,70,14,32,46,34,7,5,10,23,regular
121,01/12/2020 - TOR vs. SAS,SAS,01/12/2020,12,1,2020,19-20,h,L,0,1,83,38,0.686,25,14,0.641,240,104,39,96,40.6,17,48,35.4,9,11,81.8,8,37,45,30,7,3,11,23,regular
122,01/15/2020 - TOR @ OKC,OKC,01/15/2020,15,1,2020,19-20,a,W,1,0,84,38,0.689,26,14,0.65,240,130,52,85,61.2,15,27,55.6,11,15,73.3,5,31,36,33,13,1,18,23,regular
123,01/17/2020 - TOR vs. WAS,WAS,01/17/2020,17,1,2020,19-20,h,W,1,0,85,38,0.691,27,14,0.659,240,140,52,91,57.1,22,43,51.2,14,16,87.5,7,34,41,35,16,2,19,24,regular
124,01/18/2020 - TOR @ MIN,MIN,01/18/2020,18,1,2020,19-20,a,W,1,0,86,38,0.694,28,14,0.667,240,122,47,91,51.6,13,35,37.1,15,17,88.2,7,35,42,25,13,9,14,23,regular
125,01/20/2020 - TOR @ ATL,ATL,01/20/2020,20,1,2020,19-20,a,W,1,0,87,38,0.696,29,14,0.674,240,122,38,92,41.3,13,42,31,33,43,76.7,12,33,45,25,13,3,14,25,regular
126,01/22/2020 - TOR vs. PHI,PHI,01/22/2020,22,1,2020,19-20,h,W,1,0,88,38,0.698,30,14,0.682,240,107,40,86,46.5,13,33,39.4,14,21,66.7,8,45,53,27,6,2,12,19,regular
127,01/24/2020 - TOR @ NYK,NYK,01/24/2020,24,1,2020,19-20,a,W,1,0,89,38,0.701,31,14,0.689,240,118,41,81,50.6,17,35,48.6,19,23,82.6,5,26,31,25,10,6,7,20,regular
128,01/26/2020 - TOR @ SAS,SAS,01/26/2020,26,1,2020,19-20,a,W,1,0,90,38,0.703,32,14,0.696,240,110,41,99,41.4,16,50,32,12,15,80,14,36,50,31,11,2,8,22,regular
129,01/28/2020 - TOR vs. ATL,ATL,01/28/2020,28,1,2020,19-20,h,W,1,0,91,38,0.705,33,14,0.702,240,130,48,97,49.5,13,43,30.2,21,27,77.8,10,42,52,26,10,6,12,26,regular
130,01/30/2020 - TOR @ CLE,CLE,01/30/2020,30,1,2020,19-20,a,W,1,0,92,38,0.708,34,14,0.708,240,115,41,84,48.8,12,32,37.5,21,28,75,9,28,37,23,13,3,13,20,regular
131,01/31/2020 - TOR @ DET,DET,01/31/2020,31,1,2020,19-20,a,W,1,0,93,38,0.710,35,14,0.714,240,105,44,85,51.8,9,27,33.3,8,11,72.7,7,35,42,26,6,7,14,27,regular
132,02/02/2020 - TOR vs. CHI,CHI,02/02/2020,2,2,2020,19-20,h,W,1,0,94,38,0.712,36,14,0.72,240,129,47,84,56,16,34,47.1,19,23,82.6,12,34,46,28,6,5,15,18,regular
133,02/05/2020 - TOR vs. IND,IND,02/05/2020,5,2,2020,19-20,h,W,1,0,95,38,0.714,37,14,0.725,240,119,43,86,50,12,32,37.5,21,24,87.5,7,30,37,27,12,0,10,17,regular
134,02/07/2020 - TOR @ IND,IND,02/07/2020,7,2,2020,19-20,a,W,1,0,96,38,0.716,38,14,0.731,240,115,42,88,47.7,17,38,44.7,14,17,82.4,8,31,39,28,12,3,16,22,regular
135,02/08/2020 - TOR vs. BKN,BKN,02/08/2020,8,2,2020,19-20,h,W,1,0,97,38,0.719,39,14,0.736,240,119,45,95,47.4,14,35,40,15,21,71.4,13,35,48,22,6,5,7,22,regular
136,02/10/2020 - TOR vs. MIN,MIN,02/10/2020,10,2,2020,19-20,h,W,1,0,98,38,0.721,40,14,0.741,240,137,51,89,57.3,17,33,51.5,18,23,78.3,9,32,41,29,15,4,18,26,regular
137,02/12/2020 - TOR @ BKN,BKN,02/12/2020,12,2,2020,19-20,a,L,0,1,98,39,0.715,40,15,0.727,240,91,34,90,37.8,13,43,30.2,10,13,76.9,6,36,42,21,6,4,13,20,regular
138,02/21/2020 - TOR vs. PHX,PHX,02/21/2020,21,2,2020,19-20,h,W,1,0,99,39,0.717,41,15,0.732,240,118,42,80,52.5,14,37,37.8,20,22,90.9,7,41,48,24,7,13,22,20,regular
139,02/23/2020 - TOR vs. IND,IND,02/23/2020,23,2,2020,19-20,h,W,1,0,100,39,0.719,42,15,0.737,240,127,47,92,51.1,17,44,38.6,16,18,88.9,10,47,57,32,9,10,17,21,regular
140,02/25/2020 - TOR vs. MIL,MIL,02/25/2020,25,2,2020,19-20,h,L,0,1,100,40,0.714,42,16,0.724,240,97,32,91,35.2,18,52,34.6,15,21,71.4,9,34,43,21,4,5,16,26,regular
141,02/28/2020 - TOR vs. CHA,CHA,02/28/2020,28,2,2020,19-20,h,L,0,1,100,41,0.709,42,17,0.712,240,96,33,95,34.7,10,43,23.3,20,29,69,14,31,45,19,11,3,5,25,regular
142,03/01/2020 - TOR @ DEN,DEN,03/01/2020,1,3,2020,19-20,a,L,0,1,100,42,0.704,42,18,0.7,240,118,41,89,46.1,10,38,26.3,26,29,89.7,8,28,36,24,9,4,11,24,regular
143,03/03/2020 - TOR @ PHX,PHX,03/03/2020,3,3,2020,19-20,a,W,1,0,101,42,0.706,43,18,0.705,240,123,40,86,46.5,14,34,41.2,29,35,82.9,9,38,47,17,9,5,15,25,regular
144,03/05/2020 - TOR @ GSW,GSW,03/05/2020,5,3,2020,19-20,a,W,1,0,102,42,0.708,44,18,0.71,240,121,40,84,47.6,13,41,31.7,28,31,90.3,3,36,39,28,10,3,11,24,regular
145,03/08/2020 - TOR @ SAC,SAC,03/08/2020,8,3,2020,19-20,a,W,1,0,103,42,0.710,45,18,0.714,240,118,39,82,47.6,19,48,39.6,21,27,77.8,2,34,36,27,10,3,9,22,regular
146,03/09/2020 - TOR @ UTA,UTA,03/09/2020,9,3,2020,19-20,a,W,1,0,104,42,0.712,46,18,0.719,240,101,36,83,43.4,13,36,36.1,16,18,88.9,14,39,53,22,9,2,18,14,regular
147,08/01/2020 - TOR vs. LAL,LAL,08/01/2020,1,8,2020,19-20,h,W,1,0,105,42,0.714,47,18,0.723,240,107,35,84,41.7,14,34,41.2,23,26,88.5,7,44,51,24,7,5,14,28,regular
148,08/03/2020 - TOR @ MIA,MIA,08/03/2020,3,8,2020,19-20,a,W,1,0,106,42,0.716,48,18,0.727,240,107,29,67,43.3,16,32,50,33,36,91.7,3,36,39,19,6,3,21,19,regular
149,08/05/2020 - TOR @ ORL,ORL,08/05/2020,5,8,2020,19-20,a,W,1,0,107,42,0.718,49,18,0.731,240,109,38,78,48.7,12,33,36.4,21,30,70,3,41,44,25,6,2,15,21,regular
150,08/07/2020 - TOR vs. BOS,BOS,08/07/2020,7,8,2020,19-20,h,L,0,1,107,43,0.713,49,19,0.721,240,100,38,89,42.7,10,38,26.3,14,17,82.4,9,39,48,20,8,7,17,18,regular
151,08/09/2020 - TOR vs. MEM,MEM,08/09/2020,9,8,2020,19-20,h,W,1,0,108,43,0.715,50,19,0.725,240,108,34,71,47.9,15,39,38.5,25,33,75.8,5,35,40,25,17,7,25,23,regular
152,08/10/2020 - TOR @ MIL,MIL,08/10/2020,10,8,2020,19-20,a,W,1,0,109,43,0.717,51,19,0.729,240,114,42,97,43.3,12,40,30,18,26,69.2,16,39,55,24,11,6,13,27,regular
153,08/12/2020 - TOR @ PHI,PHI,08/12/2020,12,8,2020,19-20,a,W,1,0,110,43,0.719,52,19,0.732,240,125,40,90,44.4,18,43,41.9,27,40,67.5,11,36,47,28,8,7,12,23,regular
154,08/14/2020 - TOR vs. DEN,DEN,08/14/2020,14,8,2020,19-20,h,W,1,0,111,43,0.721,53,19,0.736,240,117,45,90,50,18,35,51.4,9,14,64.3,13,38,51,27,8,5,19,24,regular
155,12/23/2020 - TOR vs. NOP,NOP,12/23/2020,23,12,2020,20-21,h,L,0,1,111,44,0.716,0,1,0,240,99,38,89,42.7,14,46,30.4,9,12,75,7,28,35,26,10,5,20,22,regular
156,12/26/2020 - TOR @ SAS,SAS,12/26/2020,26,12,2020,20-21,a,L,0,1,111,45,0.712,0,2,0,240,114,44,96,45.8,15,41,36.6,11,15,73.3,10,36,46,32,8,9,11,23,regular
157,12/29/2020 - TOR @ PHI,PHI,12/29/2020,29,12,2020,20-21,a,L,0,1,111,46,0.707,0,3,0,240,93,32,90,35.6,17,45,37.8,12,14,85.7,10,37,47,21,12,7,19,28,regular
158,12/31/2020 - TOR vs. NYK,NYK,12/31/2020,31,12,2020,20-21,h,W,1,0,112,46,0.709,1,3,0.25,240,100,34,83,41,17,52,32.7,15,21,71.4,9,44,53,21,7,6,16,22,regular
159,01/02/2021 - TOR @ NOP,NOP,01/02/2021,2,1,2021,20-21,a,L,0,1,112,47,0.704,1,4,0.2,240,116,38,91,41.8,14,48,29.2,26,27,96.3,10,30,40,21,6,4,9,29,regular
160,01/04/2021 - TOR vs. BOS,BOS,01/04/2021,4,1,2021,20-21,h,L,0,1,112,48,0.700,1,5,0.167,240,114,36,90,40,13,37,35.1,29,38,76.3,8,29,37,20,13,4,10,26,regular
161,01/06/2021 - TOR @ PHX,PHX,01/06/2021,6,1,2021,20-21,a,L,0,1,112,49,0.696,1,6,0.143,240,115,39,79,49.4,14,35,40,23,32,71.9,10,32,42,18,6,5,12,19,regular
162,01/08/2021 - TOR @ SAC,SAC,01/08/2021,8,1,2021,20-21,a,W,1,0,113,49,0.698,2,6,0.25,240,144,53,91,58.2,20,39,51.3,18,22,81.8,12,32,44,30,8,5,12,20,regular
163,01/10/2021 - TOR @ GSW,GSW,01/10/2021,10,1,2021,20-21,a,L,0,1,113,50,0.693,2,7,0.222,240,105,39,96,40.6,13,38,34.2,14,22,63.6,13,35,48,20,8,10,10,22,regular
164,01/11/2021 - TOR @ POR,POR,01/11/2021,11,1,2021,20-21,a,L,0,1,113,51,0.689,2,8,0.2,240,111,40,89,44.9,19,47,40.4,12,12,100,7,36,43,27,6,5,15,22,regular
165,01/14/2021 - TOR vs. CHA,CHA,01/14/2021,14,1,2021,20-21,h,W,1,0,114,51,0.691,3,8,0.273,240,111,40,88,45.5,20,50,40,11,13,84.6,13,27,40,33,13,6,17,16,regular
166,01/16/2021 - TOR vs. CHA,CHA,01/16/2021,16,1,2021,20-21,h,W,1,0,115,51,0.693,4,8,0.333,240,116,36,86,41.9,21,49,42.9,23,26,88.5,7,36,43,28,5,8,15,22,regular
167,01/18/2021 - TOR vs. DAL,DAL,01/18/2021,18,1,2021,20-21,h,W,1,0,116,51,0.695,5,8,0.385,240,116,44,88,50,12,33,36.4,16,18,88.9,9,37,46,23,9,6,14,23,regular
168,01/20/2021 - TOR vs. MIA,MIA,01/20/2021,20,1,2021,20-21,h,L,0,1,116,52,0.690,5,9,0.357,240,102,35,88,39.8,16,49,32.7,16,18,88.9,12,29,41,27,8,3,12,21,regular
169,01/22/2021 - TOR vs. MIA,MIA,01/22/2021,22,1,2021,20-21,h,W,1,0,117,52,0.692,6,9,0.4,240,101,39,84,46.4,17,40,42.5,6,9,66.7,12,33,45,22,11,3,21,16,regular
170,01/24/2021 - TOR @ IND,IND,01/24/2021,24,1,2021,20-21,a,W,1,0,118,52,0.694,7,9,0.438,240,107,37,90,41.1,15,35,42.9,18,26,69.2,12,33,45,24,12,8,16,18,regular
171,01/25/2021 - TOR @ IND,IND,01/25/2021,25,1,2021,20-21,a,L,0,1,118,53,0.690,7,10,0.412,240,114,38,93,40.9,14,38,36.8,24,27,88.9,13,26,39,24,9,6,10,25,regular
172,01/27/2021 - TOR vs. MIL,MIL,01/27/2021,27,1,2021,20-21,h,L,0,1,118,54,0.686,7,11,0.389,240,108,38,94,40.4,22,55,40,10,12,83.3,10,36,46,26,8,8,11,20,regular
173,01/29/2021 - TOR vs. SAC,SAC,01/29/2021,29,1,2021,20-21,h,L,0,1,118,55,0.682,7,12,0.368,240,124,42,86,48.8,13,32,40.6,27,33,81.8,12,23,35,20,14,2,15,27,regular
174,01/31/2021 - TOR vs. ORL,ORL,01/31/2021,31,1,2021,20-21,h,W,1,0,119,55,0.684,8,12,0.4,240,115,41,90,45.6,12,39,30.8,21,22,95.5,9,39,48,27,8,5,11,22,regular
175,02/02/2021 - TOR @ ORL,ORL,02/02/2021,2,2,2021,20-21,a,W,1,0,120,55,0.686,9,12,0.429,240,123,40,83,48.2,20,45,44.4,23,25,92,6,34,40,32,14,4,11,18,regular
176,02/05/2021 - TOR @ BKN,BKN,02/05/2021,5,2,2021,20-21,a,W,1,0,121,55,0.688,10,12,0.455,240,123,49,97,50.5,13,32,40.6,12,14,85.7,12,29,41,22,10,6,10,25,regular
177,02/06/2021 - TOR @ ATL,ATL,02/06/2021,6,2,2021,20-21,a,L,0,1,121,56,0.684,10,13,0.435,240,121,41,97,42.3,13,38,34.2,26,34,76.5,14,24,38,24,9,5,6,27,regular
178,02/08/2021 - TOR @ MEM,MEM,02/08/2021,8,2,2021,20-21,a,W,1,0,122,56,0.685,11,13,0.458,240,128,42,77,54.5,20,37,54.1,24,26,92.3,7,30,37,28,11,2,14,24,regular
179,02/10/2021 - TOR @ WAS,WAS,02/10/2021,10,2,2021,20-21,a,W,1,0,123,56,0.687,12,13,0.48,240,137,49,93,52.7,19,32,59.4,20,23,87,9,37,46,28,5,5,12,17,regular
180,02/11/2021 - TOR @ BOS,BOS,02/11/2021,11,2,2021,20-21,a,L,0,1,123,57,0.683,12,14,0.462,240,106,41,83,49.4,9,28,32.1,15,19,78.9,3,29,32,26,7,8,13,26,regular
181,02/14/2021 - TOR vs. MIN,MIN,02/14/2021,14,2,2021,20-21,h,L,0,1,123,58,0.680,12,15,0.444,240,112,38,91,41.8,10,33,30.3,26,31,83.9,10,28,38,24,6,3,11,22,regular
182,02/16/2021 - TOR @ MIL,MIL,02/16/2021,16,2,2021,20-21,a,W,1,0,124,58,0.681,13,15,0.464,240,124,46,91,50.5,17,43,39.5,15,21,71.4,8,36,44,25,8,6,15,18,regular
183,02/18/2021 - TOR @ MIL,MIL,02/18/2021,18,2,2021,20-21,a,W,1,0,125,58,0.683,14,15,0.483,240,110,38,78,48.7,12,35,34.3,22,23,95.7,2,35,37,26,6,6,9,21,regular
184,02/19/2021 - TOR @ MIN,MIN,02/19/2021,19,2,2021,20-21,a,W,1,0,126,58,0.685,15,15,0.5,240,86,28,85,32.9,12,40,30,18,22,81.8,15,36,51,16,8,6,15,16,regular
185,02/21/2021 - TOR vs. PHI,PHI,02/21/2021,21,2,2021,20-21,h,W,1,0,127,58,0.686,16,15,0.516,240,110,40,81,49.4,14,34,41.2,16,18,88.9,5,34,39,25,5,5,14,24,regular
186,02/23/2021 - TOR vs. PHI,PHI,02/23/2021,23,2,2021,20-21,h,L,0,1,127,59,0.683,16,16,0.5,240,102,40,93,43,11,37,29.7,11,13,84.6,8,30,38,29,12,11,10,20,regular
187,02/24/2021 - TOR @ MIA,MIA,02/24/2021,24,2,2021,20-21,a,L,0,1,127,60,0.679,16,17,0.485,240,108,37,74,50,20,44,45.5,14,17,82.4,3,29,32,30,5,3,14,25,regular
188,02/26/2021 - TOR vs. HOU,HOU,02/26/2021,26,2,2021,20-21,h,W,1,0,128,60,0.681,17,17,0.5,240,122,40,89,44.9,16,41,39,26,27,96.3,11,37,48,29,6,8,12,20,regular
189,03/03/2021 - TOR vs. DET,DET,03/03/2021,3,3,2021,20-21,h,L,0,1,128,61,0.677,17,18,0.486,240,105,34,77,44.2,12,36,33.3,25,30,83.3,7,27,34,17,6,5,14,20,regular
190,03/04/2021 - TOR @ BOS,BOS,03/04/2021,4,3,2021,20-21,a,L,0,1,128,62,0.674,17,19,0.472,240,125,45,91,49.5,21,50,42,14,17,82.4,8,20,28,36,6,1,13,25,regular
191,03/11/2021 - TOR vs. ATL,ATL,03/11/2021,11,3,2021,20-21,h,L,0,1,128,63,0.670,17,20,0.459,240,120,42,96,43.8,17,37,45.9,19,23,82.6,13,37,50,23,8,4,14,25,regular
192,03/13/2021 - TOR @ CHA,CHA,03/13/2021,13,3,2021,20-21,a,L,0,1,128,64,0.667,17,21,0.447,240,104,37,96,38.5,15,46,32.6,15,18,83.3,13,34,47,25,10,6,16,16,regular
193,03/14/2021 - TOR @ CHI,CHI,03/14/2021,14,3,2021,20-21,a,L,0,1,128,65,0.663,17,22,0.436,240,95,34,90,37.8,12,45,26.7,15,21,71.4,7,31,38,23,5,7,12,22,regular
194,03/17/2021 - TOR @ DET,DET,03/17/2021,17,3,2021,20-21,a,L,0,1,128,66,0.660,17,23,0.425,240,112,37,86,43,12,40,30,26,34,76.5,10,20,30,27,7,6,9,26,regular
195,03/19/2021 - TOR vs. UTA,UTA,03/19/2021,19,3,2021,20-21,h,L,0,1,128,67,0.656,17,24,0.415,240,112,40,83,48.2,21,44,47.7,11,14,78.6,3,28,31,31,9,4,10,28,regular
